# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.53612 0.575981 0.87411
0.111111 0 0.111111 0.157135  1.11808 1.16187 1.78885
0.166667 0 0.166667 0.235702  1.63438 1.64111 2.47583
0.222222 0 0.222222 0.31427  2.08711 2.1414 3.14085
0.277778 0 0.277778 0.392837  2.49441 2.56662 3.67141
0.333333 0 0.333333 0.471405  2.82107 2.86851 4.1147
0.388889 0 0.388889 0.549972  3.08207 3.14929 4.4063
0.444444 0 0.444444 0.628539  3.23411 3.38205 4.61266
0.5 0 0.5 0.707107  3.26316 3.38398 4.68372
0.5 0 0.5 0.707107  3.26316 3.38398 4.68372
0.5 0.0625 0.5625 0.795495  3.29842 3.43343 4.67607
0.5 0.125 0.625 0.883883  3.22491 3.57609 4.4999
0.5 0.1875 0.6875 0.972272  3.19587 3.81254 4.32941
0.5 0.25 0.75 1.06066  3.12393 3.96935 4.14915
0.5 0.25 0.75 1.06066  3.12393 3.96935 4.14915
0.5 0.1875 0.6875 1.14905  3.19587 3.81254 4.32941
0.5 0.125 0.625 1.23744  3.22491 3.57609 4.4999
0.5 0.0625 0.5625 1.32583  3.29842 3.43343 4.67607
0.5 0 0.5 1.41421  3.26316 3.38398 4.68372
0.5 1 0.5 1.41421  3.26316 3.38398 4.68372
0.464286 0.928571 0.464286 1.5017  3.28434 3.46492 4.66211
0.428571 0.857143 0.428571 1.58918  3.17863 3.57104 4.57984
0.392857 0.785714 0.392857 1.67666  3.04521 3.71526 4.45258
0.357143 0.714286 0.357143 1.76414  2.89277 3.89574 4.28511
0.321429 0.642857 0.321429 1.85162  2.66751 4.01665 4.07566
0.285714 0.571429 0.285714 1.9391  2.46101 3.76771 4.07886
0.25 0.5 0.25 2.02659  2.17613 3.45991 4.07305
0.214286 0.428571 0.214286 2.11407  1.937 3.02717 3.88506
0.178571 0.357143 0.178571 2.20155  1.66251 2.59082 3.59085
0.142857 0.285714 0.142857 2.28903  1.35206 2.09328 3.15295
0.107143 0.214286 0.107143 2.37651  1.03455 1.61041 2.56751
0.0714286 0.142857 0.0714286 2.46399  0.690734 1.05267 1.80754
0.0357143 0.0714286 0.0357143 2.55148  0.387254 0.520558 0.93288
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -6.28023e-09 3.65701e-15 6.28023e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.384593 0.424254 0.896087
0.111111 0.111111 0.111111 2.83141  0.766028 0.799005 1.80261
0.166667 0.166667 0.166667 2.92763  1.14804 1.192 2.58863
0.222222 0.222222 0.222222 3.02386  1.47208 1.51224 3.27003
0.277778 0.277778 0.277778 3.12008  1.73611 1.77455 3.77255
0.333333 0.333333 0.333333 3.21631  1.94302 1.9856 4.20552
0.388889 0.388889 0.388889 3.31253  2.09694 2.12638 4.51294
0.444444 0.444444 0.444444 3.40876  2.16672 2.19752 4.70713
0.5 0.5 0.5 3.50498  2.20197 2.2248 4.78084
