# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.601279 0.658367 0.945294
0.111111 0 0.111111 0.157135  1.11185 1.17192 1.81957
0.166667 0 0.166667 0.235702  1.64666 1.68496 2.57798
0.222222 0 0.222222 0.31427  2.14275 2.14874 3.27887
0.277778 0 0.277778 0.392837  2.51555 2.56037 3.82155
0.333333 0 0.333333 0.471405  2.88023 2.91042 4.32847
0.388889 0 0.388889 0.549972  3.11625 3.16419 4.68966
0.444444 0 0.444444 0.628539  3.29199 3.34196 4.89233
0.5 0 0.5 0.707107  3.28582 3.43801 5.0011
0.5 0 0.5 0.707107  3.28582 3.43801 5.0011
0.5 0.0625 0.5625 0.795495  3.29371 3.4366 4.91033
0.5 0.125 0.625 0.883883  3.23871 3.64782 4.75256
0.5 0.1875 0.6875 0.972272  3.23638 3.90178 4.52559
0.5 0.25 0.75 1.06066  3.24904 4.18902 4.27376
0.5 0.25 0.75 1.06066  3.24904 4.18902 4.27376
0.5 0.1875 0.6875 1.14905  3.23638 3.90178 4.52559
0.5 0.125 0.625 1.23744  3.23871 3.64782 4.75256
0.5 0.0625 0.5625 1.32583  3.29371 3.4366 4.91033
0.5 0 0.5 1.41421  3.28582 3.43801 5.0011
0.5 1 0.5 1.41421  3.28582 3.43801 5.0011
0.464286 0.928571 0.464286 1.5017  3.2712 3.43327 4.93906
0.428571 0.857143 0.428571 1.58918  3.1922 3.56581 4.83
0.392857 0.785714 0.392857 1.67666  3.06328 3.8085 4.6443
0.357143 0.714286 0.357143 1.76414  2.91268 4.05012 4.41536
0.321429 0.642857 0.321429 1.85162  2.67645 4.13924 4.24907
0.285714 0.571429 0.285714 1.9391  2.40856 3.81118 4.31378
0.25 0.5 0.25 2.02659  2.1419 3.39419 4.27694
0.214286 0.428571 0.214286 2.11407  1.85468 2.97434 4.0651
0.178571 0.357143 0.178571 2.20155  1.59025 2.5444 3.73709
0.142857 0.285714 0.142857 2.28903  1.2504 2.02907 3.18346
0.107143 0.214286 0.107143 2.37651  0.95046 1.55821 2.5515
0.0714286 0.142857 0.0714286 2.46399  0.721713 1.0871 1.78265
0.0357143 0.0714286 0.0357143 2.55148  0.453518 0.611234 0.96602
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -6.07607e-09 3.69751e-15 6.07607e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.525328 0.583915 0.951093
0.111111 0.111111 0.111111 2.83141  0.74142 0.792251 1.83777
0.166667 0.166667 0.166667 2.92763  1.11829 1.13013 2.57124
0.222222 0.222222 0.222222 3.02386  1.43413 1.44418 3.28173
0.277778 0.277778 0.277778 3.12008  1.65202 1.67001 3.8453
0.333333 0.333333 0.333333 3.21631  1.86771 1.91018 4.39961
0.388889 0.388889 0.388889 3.31253  1.98131 2.05063 4.72728
0.444444 0.444444 0.444444 3.40876  2.1304 2.1508 4.94064
0.5 0.5 0.5 3.50498  2.13701 2.15502 5.09162
