# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.678593 0.80399 1.03728
0.111111 0 0.111111 0.157135  1.30126 1.3332 1.94612
0.166667 0 0.166667 0.235702  1.87299 1.91069 2.7481
0.222222 0 0.222222 0.31427  2.40118 2.46683 3.51134
0.277778 0 0.277778 0.392837  2.8227 2.888 4.07473
0.333333 0 0.333333 0.471405  3.19521 3.26534 4.53744
0.388889 0 0.388889 0.549972  3.41149 3.51072 4.84466
0.444444 0 0.444444 0.628539  3.61231 3.6778 4.98605
0.5 0 0.5 0.707107  3.67534 3.81647 5.03145
0.5 0 0.5 0.707107  3.67534 3.81647 5.03145
0.5 0.0625 0.5625 0.795495  3.62204 3.79425 4.99707
0.5 0.125 0.625 0.883883  3.44471 3.92933 4.88467
0.5 0.1875 0.6875 0.972272  3.34661 4.12624 4.66295
0.5 0.25 0.75 1.06066  3.33727 4.37149 4.45188
0.5 0.25 0.75 1.06066  3.33727 4.37149 4.45188
0.5 0.1875 0.6875 1.14905  3.34661 4.12624 4.66295
0.5 0.125 0.625 1.23744  3.44471 3.92933 4.88467
0.5 0.0625 0.5625 1.32583  3.62204 3.79425 4.99707
0.5 0 0.5 1.41421  3.67534 3.81647 5.03145
0.5 1 0.5 1.41421  3.67534 3.81647 5.03145
0.464286 0.928571 0.464286 1.5017  3.65924 3.74319 4.99971
0.428571 0.857143 0.428571 1.58918  3.54388 3.82908 4.902
0.392857 0.785714 0.392857 1.67666  3.35802 3.97849 4.75599
0.357143 0.714286 0.357143 1.76414  3.15125 4.11908 4.55868
0.321429 0.642857 0.321429 1.85162  2.90034 4.25127 4.30314
0.285714 0.571429 0.285714 1.9391  2.60156 3.97771 4.35472
0.25 0.5 0.25 2.02659  2.27839 3.61946 4.38676
0.214286 0.428571 0.214286 2.11407  1.99285 3.23586 4.2758
0.178571 0.357143 0.178571 2.20155  1.71397 2.80469 3.99031
0.142857 0.285714 0.142857 2.28903  1.3353 2.26256 3.45681
0.107143 0.214286 0.107143 2.37651  1.02901 1.76587 2.82982
0.0714286 0.142857 0.0714286 2.46399  0.825474 1.2418 1.94982
0.0357143 0.0714286 0.0357143 2.55148  0.551798 0.743032 1.07957
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -7.9324e-09 5.7522e-15 7.9324e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.63221 0.701346 1.0579
0.111111 0.111111 0.111111 2.83141  0.833034 0.891364 2.02138
0.166667 0.166667 0.166667 2.92763  1.26129 1.28211 2.83118
0.222222 0.222222 0.222222 3.02386  1.58606 1.62072 3.57803
0.277778 0.277778 0.277778 3.12008  1.83355 1.86259 4.11205
0.333333 0.333333 0.333333 3.21631  2.10073 2.13997 4.54517
0.388889 0.388889 0.388889 3.31253  2.22289 2.2928 4.80456
0.444444 0.444444 0.444444 3.40876  2.3656 2.39582 4.86706
0.5 0.5 0.5 3.50498  2.3437 2.41246 4.89523
