# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.586559 0.679297 0.846819
0.111111 0 0.111111 0.157135  1.05337 1.11332 1.59436
0.166667 0 0.166667 0.235702  1.52385 1.61945 2.37137
0.222222 0 0.222222 0.31427  2.00136 2.06649 3.12716
0.277778 0 0.277778 0.392837  2.29465 2.35595 3.5488
0.333333 0 0.333333 0.471405  2.54543 2.59641 3.81229
0.388889 0 0.388889 0.549972  2.73142 2.8006 4.02569
0.444444 0 0.444444 0.628539  2.71278 2.9186 4.07978
0.5 0 0.5 0.707107  2.6936 2.88976 4.06062
0.5 0 0.5 0.707107  2.6936 2.88976 4.06062
0.5 0.0625 0.5625 0.795495  2.8873 2.98503 4.09464
0.5 0.125 0.625 0.883883  3.06008 3.24844 4.16218
0.5 0.1875 0.6875 0.972272  3.23519 3.54713 4.0233
0.5 0.25 0.75 1.06066  3.40582 3.76289 3.90196
0.5 0.25 0.75 1.06066  3.40582 3.76289 3.90196
0.5 0.1875 0.6875 1.14905  3.23519 3.54713 4.0233
0.5 0.125 0.625 1.23744  3.06008 3.24844 4.16218
0.5 0.0625 0.5625 1.32583  2.8873 2.98503 4.09464
0.5 0 0.5 1.41421  2.6936 2.88976 4.06062
0.5 1 0.5 1.41421  2.6936 2.88976 4.06062
0.464286 0.928571 0.464286 1.5017  2.8714 2.92462 4.07943
0.428571 0.857143 0.428571 1.58918  2.81421 3.23063 4.11705
0.392857 0.785714 0.392857 1.67666  2.70728 3.49269 4.0311
0.357143 0.714286 0.357143 1.76414  2.67274 3.73332 3.9072
0.321429 0.642857 0.321429 1.85162  2.60534 3.79704 3.90236
0.285714 0.571429 0.285714 1.9391  2.35894 3.5775 3.89807
0.25 0.5 0.25 2.02659  2.0929 3.25082 3.79569
0.214286 0.428571 0.214286 2.11407  1.88251 2.90195 3.64153
0.178571 0.357143 0.178571 2.20155  1.6441 2.47531 3.36808
0.142857 0.285714 0.142857 2.28903  1.28392 1.99972 3.01149
0.107143 0.214286 0.107143 2.37651  0.978072 1.58617 2.51538
0.0714286 0.142857 0.0714286 2.46399  0.81144 1.08783 1.7206
0.0357143 0.0714286 0.0357143 2.55148  0.507393 0.616028 0.944238
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -9.23721e-09 4.61956e-15 9.23721e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.55226 0.598468 0.908843
0.111111 0.111111 0.111111 2.83141  0.739346 0.785531 1.75355
0.166667 0.166667 0.166667 2.92763  1.12678 1.16745 2.47758
0.222222 0.222222 0.222222 3.02386  1.37216 1.45434 3.06448
0.277778 0.277778 0.277778 3.12008  1.60242 1.66646 3.48845
0.333333 0.333333 0.333333 3.21631  1.86546 1.89279 3.89041
0.388889 0.388889 0.388889 3.31253  1.98695 2.0238 4.11872
0.444444 0.444444 0.444444 3.40876  2.11939 2.1317 4.24136
0.5 0.5 0.5 3.50498  2.01609 2.03668 4.18504
