# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.623942 0.721423 0.935635
0.111111 0 0.111111 0.157135  1.16257 1.19564 1.77115
0.166667 0 0.166667 0.235702  1.70645 1.73272 2.54697
0.222222 0 0.222222 0.31427  2.22361 2.23614 3.32088
0.277778 0 0.277778 0.392837  2.61193 2.63075 3.91377
0.333333 0 0.333333 0.471405  2.92715 2.99683 4.36424
0.388889 0 0.388889 0.549972  3.14161 3.24018 4.66183
0.444444 0 0.444444 0.628539  3.32613 3.37565 4.86784
0.5 0 0.5 0.707107  3.3335 3.50354 4.94027
0.5 0 0.5 0.707107  3.3335 3.50354 4.94027
0.5 0.0625 0.5625 0.795495  3.42433 3.51213 4.8914
0.5 0.125 0.625 0.883883  3.39267 3.71589 4.78177
0.5 0.1875 0.6875 0.972272  3.29774 3.95842 4.57346
0.5 0.25 0.75 1.06066  3.32179 4.22026 4.35848
0.5 0.25 0.75 1.06066  3.32179 4.22026 4.35848
0.5 0.1875 0.6875 1.14905  3.29774 3.95842 4.57346
0.5 0.125 0.625 1.23744  3.39267 3.71589 4.78177
0.5 0.0625 0.5625 1.32583  3.42433 3.51213 4.8914
0.5 0 0.5 1.41421  3.3335 3.50354 4.94027
0.5 1 0.5 1.41421  3.3335 3.50354 4.94027
0.464286 0.928571 0.464286 1.5017  3.43146 3.49312 4.91796
0.428571 0.857143 0.428571 1.58918  3.33182 3.6791 4.85693
0.392857 0.785714 0.392857 1.67666  3.16187 3.87953 4.6628
0.357143 0.714286 0.357143 1.76414  2.98529 4.09537 4.43855
0.321429 0.642857 0.321429 1.85162  2.7642 4.14738 4.25438
0.285714 0.571429 0.285714 1.9391  2.51 3.83332 4.32035
0.25 0.5 0.25 2.02659  2.20186 3.45629 4.23557
0.214286 0.428571 0.214286 2.11407  1.92335 3.06322 4.06254
0.178571 0.357143 0.178571 2.20155  1.63236 2.62556 3.74255
0.142857 0.285714 0.142857 2.28903  1.26485 2.10424 3.2171
0.107143 0.214286 0.107143 2.37651  0.968343 1.61176 2.61027
0.0714286 0.142857 0.0714286 2.46399  0.748617 1.12432 1.76652
0.0357143 0.0714286 0.0357143 2.55148  0.490463 0.652342 0.956734
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -9.54784e-09 3.73031e-15 9.54784e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.573345 0.611686 0.938011
0.111111 0.111111 0.111111 2.83141  0.772545 0.813869 1.78374
0.166667 0.166667 0.166667 2.92763  1.14665 1.1576 2.56945
0.222222 0.222222 0.222222 3.02386  1.41624 1.45371 3.35278
0.277778 0.277778 0.277778 3.12008  1.68886 1.7205 3.92098
0.333333 0.333333 0.333333 3.21631  1.94165 1.96252 4.33099
0.388889 0.388889 0.388889 3.31253  2.05984 2.10248 4.66559
0.444444 0.444444 0.444444 3.40876  2.21334 2.24088 4.82504
0.5 0.5 0.5 3.50498  2.19476 2.29678 4.85772
