# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.576536 0.75645 0.919667
0.111111 0 0.111111 0.157135  1.10239 1.14991 1.7026
0.166667 0 0.166667 0.235702  1.61141 1.66181 2.45381
0.222222 0 0.222222 0.31427  2.0848 2.1093 3.16784
0.277778 0 0.277778 0.392837  2.40825 2.44162 3.60422
0.333333 0 0.333333 0.471405  2.6356 2.7072 3.89786
0.388889 0 0.388889 0.549972  2.79073 2.87235 4.13363
0.444444 0 0.444444 0.628539  2.84906 2.99036 4.29409
0.5 0 0.5 0.707107  2.81602 2.97368 4.37505
0.5 0 0.5 0.707107  2.81602 2.97368 4.37505
0.5 0.0625 0.5625 0.795495  2.97714 3.05335 4.32007
0.5 0.125 0.625 0.883883  3.15563 3.35112 4.26234
0.5 0.1875 0.6875 0.972272  3.3324 3.67649 4.13311
0.5 0.25 0.75 1.06066  3.44612 3.85667 3.96055
0.5 0.25 0.75 1.06066  3.44612 3.85667 3.96055
0.5 0.1875 0.6875 1.14905  3.3324 3.67649 4.13311
0.5 0.125 0.625 1.23744  3.15563 3.35112 4.26234
0.5 0.0625 0.5625 1.32583  2.97714 3.05335 4.32007
0.5 0 0.5 1.41421  2.81602 2.97368 4.37505
0.5 1 0.5 1.41421  2.81602 2.97368 4.37505
0.464286 0.928571 0.464286 1.5017  2.9591 3.02574 4.32615
0.428571 0.857143 0.428571 1.58918  2.95311 3.38119 4.29114
0.392857 0.785714 0.392857 1.67666  2.87647 3.73201 4.24502
0.357143 0.714286 0.357143 1.76414  2.77482 3.9269 4.1292
0.321429 0.642857 0.321429 1.85162  2.6919 4.00171 4.0729
0.285714 0.571429 0.285714 1.9391  2.53927 3.79663 4.12211
0.25 0.5 0.25 2.02659  2.35774 3.46986 4.04252
0.214286 0.428571 0.214286 2.11407  2.04954 3.02723 3.77667
0.178571 0.357143 0.178571 2.20155  1.73509 2.59306 3.45052
0.142857 0.285714 0.142857 2.28903  1.36474 2.11356 3.03742
0.107143 0.214286 0.107143 2.37651  1.03832 1.64012 2.51416
0.0714286 0.142857 0.0714286 2.46399  0.787786 1.10345 1.75401
0.0357143 0.0714286 0.0357143 2.55148  0.524303 0.651324 1.00228
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -7.90675e-09 5.47222e-15 7.90675e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.600819 0.631812 0.929347
0.111111 0.111111 0.111111 2.83141  0.741251 0.771534 1.81085
0.166667 0.166667 0.166667 2.92763  1.16599 1.19628 2.51844
0.222222 0.222222 0.222222 3.02386  1.42489 1.46767 3.15027
0.277778 0.277778 0.277778 3.12008  1.68096 1.71375 3.63725
0.333333 0.333333 0.333333 3.21631  1.94128 1.94728 3.99825
0.388889 0.388889 0.388889 3.31253  2.0721 2.1288 4.26631
0.444444 0.444444 0.444444 3.40876  2.20789 2.26325 4.37397
0.5 0.5 0.5 3.50498  2.12102 2.20817 4.45842
