x,Curve2
1.40446,9.6
1.48243,5.2631
1.50192,9.5519
1.52466,5.6297
1.55065,5.7671
1.55715,5.2051
1.57664,5.9503
1.59938,9.207
1.65136,6.3969
1.70009,6.8666
1.723,8.72
1.72608,5.02
1.74882,7.1987
1.78781,4.9392
1.79106,7.4735
1.82029,8.1384
1.84303,7.7368
1.87227,7.576
1.89826,4.7317
1.92425,8.2406
1.94374,6.9216
1.96648,8.4008
1.96973,4.4673
2.00222,4.1917
2.01197,8.4118
2.01521,6.2444
2.0607,8.3655
2.09318,5.395
2.09643,8.1932
2.10618,3.6518
2.11592,7.9177
2.14191,7.6881
2.19064,6.9193
2.21014,3.0201
2.23612,6.529
2.28161,3.5584
2.2881,5.8404
2.32384,5.3585
2.34658,2.2275
2.36282,4.842
2.38556,2.5712
2.41155,4.1076
2.45379,3.4765
2.47977,1.6758
2.48952,1.4464
