# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  1.0791 1.28302 1.66273
0.111111 0 0.111111 0.157135  2.04524 2.072 3.10048
0.166667 0 0.166667 0.235702  2.97295 2.99752 4.36421
0.222222 0 0.222222 0.31427  3.83668 3.89064 5.58312
0.277778 0 0.277778 0.392837  4.52678 4.57257 6.5727
0.333333 0 0.333333 0.471405  5.18147 5.31104 7.43991
0.388889 0 0.388889 0.549972  5.64744 5.78974 8.0933
0.444444 0 0.444444 0.628539  5.91236 5.95285 8.59903
0.5 0 0.5 0.707107  5.98699 6.03675 8.80521
0.5 0 0.5 0.707107  5.98699 6.03675 8.80521
0.5 0.0625 0.5625 0.795495  5.97384 6.05697 8.66944
0.5 0.125 0.625 0.883883  5.83878 6.25814 8.39081
0.5 0.1875 0.6875 0.972272  5.72866 6.84605 7.95879
0.5 0.25 0.75 1.06066  5.64683 7.4102 7.56586
0.5 0.25 0.75 1.06066  5.64683 7.4102 7.56586
0.5 0.1875 0.6875 1.14905  5.72866 6.84605 7.95879
0.5 0.125 0.625 1.23744  5.83878 6.25814 8.39081
0.5 0.0625 0.5625 1.32583  5.97384 6.05697 8.66944
0.5 0 0.5 1.41421  5.98699 6.03675 8.80521
0.5 1 0.5 1.41421  5.98699 6.03675 8.80521
0.464286 0.928571 0.464286 1.5017  5.93395 6.1095 8.68923
0.428571 0.857143 0.428571 1.58918  5.7706 6.34497 8.51499
0.392857 0.785714 0.392857 1.67666  5.47768 6.6877 8.17484
0.357143 0.714286 0.357143 1.76414  5.17822 7.07232 7.77188
0.321429 0.642857 0.321429 1.85162  4.84924 7.27057 7.44006
0.285714 0.571429 0.285714 1.9391  4.40275 6.68366 7.59536
0.25 0.5 0.25 2.02659  3.91286 5.9619 7.54235
0.214286 0.428571 0.214286 2.11407  3.39413 5.22782 7.09051
0.178571 0.357143 0.178571 2.20155  2.89528 4.49899 6.48172
0.142857 0.285714 0.142857 2.28903  2.30096 3.64134 5.61967
0.107143 0.214286 0.107143 2.37651  1.77431 2.80231 4.52123
0.0714286 0.142857 0.0714286 2.46399  1.34503 1.95574 3.1107
0.0357143 0.0714286 0.0357143 2.55148  0.877256 1.14923 1.71434
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -8.19641e-09 6.89427e-15 8.19641e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  1.04279 1.06554 1.6575
0.111111 0.111111 0.111111 2.83141  1.36785 1.41138 3.13277
0.166667 0.166667 0.166667 2.92763  2.05325 2.08494 4.50956
0.222222 0.222222 0.222222 3.02386  2.57152 2.60269 5.94176
0.277778 0.277778 0.277778 3.12008  2.99494 3.01741 6.83371
0.333333 0.333333 0.333333 3.21631  3.41465 3.4575 7.58991
0.388889 0.388889 0.388889 3.31253  3.61249 3.68793 8.20281
0.444444 0.444444 0.444444 3.40876  3.89939 3.91486 8.59034
0.5 0.5 0.5 3.50498  3.89847 3.97549 8.73216
