# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  1.04105 1.25405 1.79774
0.111111 0 0.111111 0.157135  1.95751 2.05163 3.37577
0.166667 0 0.166667 0.235702  2.92935 3.00025 4.62627
0.222222 0 0.222222 0.31427  3.80606 3.91893 5.77386
0.277778 0 0.277778 0.392837  4.49716 4.60748 6.62938
0.333333 0 0.333333 0.471405  5.13381 5.27562 7.35794
0.388889 0 0.388889 0.549972  5.55034 5.75042 8.00617
0.444444 0 0.444444 0.628539  5.96121 6.01262 8.56735
0.5 0 0.5 0.707107  6.11536 6.17636 8.80246
0.5 0 0.5 0.707107  6.11536 6.17636 8.80246
0.5 0.0625 0.5625 0.795495  6.03958 6.10318 8.62742
0.5 0.125 0.625 0.883883  5.97795 6.21305 8.38822
0.5 0.1875 0.6875 0.972272  5.81051 6.88338 8.02473
0.5 0.25 0.75 1.06066  5.73326 7.48676 7.86119
0.5 0.25 0.75 1.06066  5.73326 7.48676 7.86119
0.5 0.1875 0.6875 1.14905  5.81051 6.88338 8.02473
0.5 0.125 0.625 1.23744  5.97795 6.21305 8.38822
0.5 0.0625 0.5625 1.32583  6.03958 6.10318 8.62742
0.5 0 0.5 1.41421  6.11536 6.17636 8.80246
0.5 1 0.5 1.41421  6.11536 6.17636 8.80246
0.464286 0.928571 0.464286 1.5017  5.95528 6.1498 8.66106
0.428571 0.857143 0.428571 1.58918  5.80651 6.35722 8.53796
0.392857 0.785714 0.392857 1.67666  5.57288 6.67102 8.28135
0.357143 0.714286 0.357143 1.76414  5.25187 7.02895 7.88206
0.321429 0.642857 0.321429 1.85162  4.85537 7.25073 7.35549
0.285714 0.571429 0.285714 1.9391  4.41703 6.67923 7.4563
0.25 0.5 0.25 2.02659  3.99977 6.02468 7.43719
0.214286 0.428571 0.214286 2.11407  3.59422 5.29386 7.12611
0.178571 0.357143 0.178571 2.20155  3.1977 4.54232 6.58257
0.142857 0.285714 0.142857 2.28903  2.6373 3.68381 5.71992
0.107143 0.214286 0.107143 2.37651  2.11287 2.84606 4.6287
0.0714286 0.142857 0.0714286 2.46399  1.62829 1.97829 3.22114
0.0357143 0.0714286 0.0357143 2.55148  1.0229 1.15485 1.78088
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.00364e-08 6.29743e-15 1.00364e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  1.12287 1.16685 1.70383
0.111111 0.111111 0.111111 2.83141  1.52239 1.60899 3.21079
0.166667 0.166667 0.166667 2.92763  2.23645 2.28846 4.59546
0.222222 0.222222 0.222222 3.02386  2.77482 2.8283 5.887
0.277778 0.277778 0.277778 3.12008  3.24613 3.27329 6.90722
0.333333 0.333333 0.333333 3.21631  3.6288 3.68616 7.66642
0.388889 0.388889 0.388889 3.31253  3.85873 3.96891 8.12587
0.444444 0.444444 0.444444 3.40876  4.05966 4.13669 8.52465
0.5 0.5 0.5 3.50498  4.13016 4.3064 8.70292
