# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  -0.739354 0.963744 1.53558
0.111111 0 0.111111 0.157135  1.85485 2.03112 3.48426
0.166667 0 0.166667 0.235702  2.98763 3.15269 5.68861
0.222222 0 0.222222 0.31427  4.00618 4.05272 7.91975
0.277778 0 0.277778 0.392837  4.89194 4.993 10.0946
0.333333 0 0.333333 0.471405  5.79761 5.85998 12.3994
0.388889 0 0.388889 0.549972  6.31532 6.441 13.9092
0.444444 0 0.444444 0.628539  6.73993 6.77031 14.936
0.5 0 0.5 0.707107  6.92766 7.05602 15.5234
0.5 0 0.5 0.707107  6.92766 7.05602 15.5234
0.5 0.0625 0.5625 0.795495  6.80801 7.05375 14.8663
0.5 0.125 0.625 0.883883  6.75558 7.65578 13.8595
0.5 0.1875 0.6875 0.972272  6.6272 8.72481 12.1211
0.5 0.25 0.75 1.06066  6.47112 10.2383 10.2829
0.5 0.25 0.75 1.06066  6.47112 10.2383 10.2829
0.5 0.1875 0.6875 1.14905  6.6272 8.72481 12.1211
0.5 0.125 0.625 1.23744  6.75558 7.65578 13.8595
0.5 0.0625 0.5625 1.32583  6.80801 7.05375 14.8663
0.5 0 0.5 1.41421  6.92766 7.05602 15.5234
0.5 1 0.5 1.41421  6.92766 7.05602 15.5234
0.464286 0.928571 0.464286 1.5017  6.7465 7.01843 14.9737
0.428571 0.857143 0.428571 1.58918  6.4461 7.65356 14.1938
0.392857 0.785714 0.392857 1.67666  6.11104 8.55116 13.0471
0.357143 0.714286 0.357143 1.76414  5.77108 9.67694 11.802
0.321429 0.642857 0.321429 1.85162  5.46276 10.236 10.8137
0.285714 0.571429 0.285714 1.9391  5.27902 8.93416 11.4259
0.25 0.5 0.25 2.02659  4.99669 7.44976 11.4589
0.214286 0.428571 0.214286 2.11407  4.57708 6.39309 10.8281
0.178571 0.357143 0.178571 2.20155  3.94287 5.24778 9.5403
0.142857 0.285714 0.142857 2.28903  3.19489 4.06734 7.5731
0.107143 0.214286 0.107143 2.37651  2.3513 2.86844 5.48388
0.0714286 0.142857 0.0714286 2.46399  0.760669 1.78417 3.54123
0.0357143 0.0714286 0.0357143 2.55148  -0.836336 -0.677938 1.41629
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.02126e-08 3.11802e-15 1.02126e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  -1.11512 -1.05459 1.52713
0.111111 0.111111 0.111111 2.83141  1.28034 1.36779 3.50201
0.166667 0.166667 0.166667 2.92763  2.16119 2.18736 5.60815
0.222222 0.222222 0.222222 3.02386  2.9097 3.0047 8.21729
0.277778 0.277778 0.277778 3.12008  3.68172 3.75866 10.4969
0.333333 0.333333 0.333333 3.21631  4.36789 4.42244 12.8537
0.388889 0.388889 0.388889 3.31253  4.89433 4.95605 14.6424
0.444444 0.444444 0.444444 3.40876  5.07628 5.12271 15.7633
0.5 0.5 0.5 3.50498  5.20787 5.49141 16.3506
