# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.48729 0.599369 0.890085
0.111111 0 0.111111 0.157135  0.927294 0.958814 1.68574
0.166667 0 0.166667 0.235702  1.35111 1.3943 2.30267
0.222222 0 0.222222 0.31427  1.74172 1.79527 2.85769
0.277778 0 0.277778 0.392837  2.07011 2.0862 3.27114
0.333333 0 0.333333 0.471405  2.34375 2.4058 3.57223
0.388889 0 0.388889 0.549972  2.50659 2.61748 3.7826
0.444444 0 0.444444 0.628539  2.68886 2.72736 3.97576
0.5 0 0.5 0.707107  2.8028 2.8271 4.07115
0.5 0 0.5 0.707107  2.8028 2.8271 4.07115
0.5 0.0625 0.5625 0.795495  2.77345 2.80877 3.98009
0.5 0.125 0.625 0.883883  2.78429 2.96558 3.83141
0.5 0.1875 0.6875 0.972272  2.73057 3.18165 3.65053
0.5 0.25 0.75 1.06066  2.69996 3.40524 3.43229
0.5 0.25 0.75 1.06066  2.69996 3.40524 3.43229
0.5 0.1875 0.6875 1.14905  2.73057 3.18165 3.65053
0.5 0.125 0.625 1.23744  2.78429 2.96558 3.83141
0.5 0.0625 0.5625 1.32583  2.77345 2.80877 3.98009
0.5 0 0.5 1.41421  2.8028 2.8271 4.07115
0.5 1 0.5 1.41421  2.8028 2.8271 4.07115
0.464286 0.928571 0.464286 1.5017  2.75886 2.81167 3.98889
0.428571 0.857143 0.428571 1.58918  2.676 2.93445 3.88415
0.392857 0.785714 0.392857 1.67666  2.55574 3.10614 3.74898
0.357143 0.714286 0.357143 1.76414  2.42397 3.28166 3.56726
0.321429 0.642857 0.321429 1.85162  2.24195 3.32999 3.46449
0.285714 0.571429 0.285714 1.9391  2.04034 3.08705 3.53096
0.25 0.5 0.25 2.02659  1.78536 2.80687 3.51722
0.214286 0.428571 0.214286 2.11407  1.57522 2.43007 3.4304
0.178571 0.357143 0.178571 2.20155  1.36417 2.06712 3.21315
0.142857 0.285714 0.142857 2.28903  1.08207 1.67162 2.82018
0.107143 0.214286 0.107143 2.37651  0.846131 1.29815 2.33655
0.0714286 0.142857 0.0714286 2.46399  0.676029 0.906499 1.57825
0.0357143 0.0714286 0.0357143 2.55148  0.442515 0.543607 0.862976
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -8.70891e-09 4.72159e-15 8.70891e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.5088 0.544613 0.835298
0.111111 0.111111 0.111111 2.83141  0.62161 0.682201 1.59251
0.166667 0.166667 0.166667 2.92763  0.951576 0.976712 2.24279
0.222222 0.222222 0.222222 3.02386  1.21288 1.23525 2.87288
0.277778 0.277778 0.277778 3.12008  1.40575 1.42554 3.30909
0.333333 0.333333 0.333333 3.21631  1.5993 1.62408 3.59916
0.388889 0.388889 0.388889 3.31253  1.70211 1.7261 3.81198
0.444444 0.444444 0.444444 3.40876  1.79783 1.82593 3.93646
0.5 0.5 0.5 3.50498  1.77086 1.80776 3.96542
