# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.436894 0.698266 0.856948
0.111111 0 0.111111 0.157135  0.824956 0.878197 1.50827
0.166667 0 0.166667 0.235702  1.18698 1.21728 1.92382
0.222222 0 0.222222 0.31427  1.5769 1.60836 2.35693
0.277778 0 0.277778 0.392837  1.85646 1.89918 2.73136
0.333333 0 0.333333 0.471405  2.10458 2.13201 3.07791
0.388889 0 0.388889 0.549972  2.25048 2.33694 3.36422
0.444444 0 0.444444 0.628539  2.42331 2.44992 3.54351
0.5 0 0.5 0.707107  2.48887 2.51632 3.62452
0.5 0 0.5 0.707107  2.48887 2.51632 3.62452
0.5 0.0625 0.5625 0.795495  2.46685 2.51112 3.56466
0.5 0.125 0.625 0.883883  2.48247 2.59611 3.44361
0.5 0.1875 0.6875 0.972272  2.38557 2.80439 3.26953
0.5 0.25 0.75 1.06066  2.30742 3.0306 3.07511
0.5 0.25 0.75 1.06066  2.30742 3.0306 3.07511
0.5 0.1875 0.6875 1.14905  2.38557 2.80439 3.26953
0.5 0.125 0.625 1.23744  2.48247 2.59611 3.44361
0.5 0.0625 0.5625 1.32583  2.46685 2.51112 3.56466
0.5 0 0.5 1.41421  2.48887 2.51632 3.62452
0.5 1 0.5 1.41421  2.48887 2.51632 3.62452
0.464286 0.928571 0.464286 1.5017  2.41035 2.53196 3.58001
0.428571 0.857143 0.428571 1.58918  2.35948 2.63357 3.50484
0.392857 0.785714 0.392857 1.67666  2.22939 2.79489 3.39387
0.357143 0.714286 0.357143 1.76414  2.09776 2.94941 3.22502
0.321429 0.642857 0.321429 1.85162  1.98574 2.97611 3.09802
0.285714 0.571429 0.285714 1.9391  1.81124 2.7489 3.1351
0.25 0.5 0.25 2.02659  1.57213 2.49751 3.0697
0.214286 0.428571 0.214286 2.11407  1.38043 2.16599 2.86149
0.178571 0.357143 0.178571 2.20155  1.20582 1.83039 2.59227
0.142857 0.285714 0.142857 2.28903  0.97689 1.48496 2.37928
0.107143 0.214286 0.107143 2.37651  0.762732 1.16028 2.00477
0.0714286 0.142857 0.0714286 2.46399  0.744566 0.814679 1.44153
0.0357143 0.0714286 0.0357143 2.55148  0.542259 0.575048 0.889328
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -4.9779e-09 3.82711e-15 4.9779e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.626609 0.670736 0.803955
0.111111 0.111111 0.111111 2.83141  0.606465 0.636847 1.43151
0.166667 0.166667 0.166667 2.92763  0.867733 0.884838 1.93196
0.222222 0.222222 0.222222 3.02386  1.08428 1.09446 2.34587
0.277778 0.277778 0.277778 3.12008  1.22334 1.2378 2.70206
0.333333 0.333333 0.333333 3.21631  1.3903 1.41862 3.08284
0.388889 0.388889 0.388889 3.31253  1.49972 1.53798 3.39469
0.444444 0.444444 0.444444 3.40876  1.59099 1.61451 3.56355
0.5 0.5 0.5 3.50498  1.60287 1.61504 3.56637
