# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.400959 0.613387 0.826679
0.111111 0 0.111111 0.157135  0.772146 0.814003 1.50335
0.166667 0 0.166667 0.235702  1.12651 1.15174 2.09366
0.222222 0 0.222222 0.31427  1.45113 1.51001 2.56764
0.277778 0 0.277778 0.392837  1.70976 1.7464 2.87339
0.333333 0 0.333333 0.471405  1.93302 1.98756 3.10618
0.388889 0 0.388889 0.549972  2.07512 2.139 3.24183
0.444444 0 0.444444 0.628539  2.22102 2.28194 3.30071
0.5 0 0.5 0.707107  2.27904 2.4301 3.31724
0.5 0 0.5 0.707107  2.27904 2.4301 3.31724
0.5 0.0625 0.5625 0.795495  2.25902 2.31316 3.29429
0.5 0.125 0.625 0.883883  2.3029 2.43421 3.18981
0.5 0.1875 0.6875 0.972272  2.20764 2.63095 3.03898
0.5 0.25 0.75 1.06066  2.15431 2.83169 2.84817
0.5 0.25 0.75 1.06066  2.15431 2.83169 2.84817
0.5 0.1875 0.6875 1.14905  2.20764 2.63095 3.03898
0.5 0.125 0.625 1.23744  2.3029 2.43421 3.18981
0.5 0.0625 0.5625 1.32583  2.25902 2.31316 3.29429
0.5 0 0.5 1.41421  2.27904 2.4301 3.31724
0.5 1 0.5 1.41421  2.27904 2.4301 3.31724
0.464286 0.928571 0.464286 1.5017  2.28292 2.30556 3.30546
0.428571 0.857143 0.428571 1.58918  2.21724 2.41655 3.24929
0.392857 0.785714 0.392857 1.67666  2.1088 2.55701 3.15681
0.357143 0.714286 0.357143 1.76414  1.95275 2.70073 2.98395
0.321429 0.642857 0.321429 1.85162  1.74769 2.78405 2.84767
0.285714 0.571429 0.285714 1.9391  1.58679 2.58518 2.96863
0.25 0.5 0.25 2.02659  1.40815 2.34004 3.01828
0.214286 0.428571 0.214286 2.11407  1.22284 2.03973 2.97714
0.178571 0.357143 0.178571 2.20155  1.03253 1.73278 2.81993
0.142857 0.285714 0.142857 2.28903  0.782774 1.37918 2.55962
0.107143 0.214286 0.107143 2.37651  0.614733 1.09128 2.18009
0.0714286 0.142857 0.0714286 2.46399  0.560389 0.769091 1.48212
0.0357143 0.0714286 0.0357143 2.55148  0.443614 0.4827 0.818353
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -5.64885e-09 3.07036e-15 5.64885e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.472811 0.541448 0.788365
0.111111 0.111111 0.111111 2.83141  0.496407 0.513286 1.52228
0.166667 0.166667 0.166667 2.92763  0.747579 0.778082 2.07143
0.222222 0.222222 0.222222 3.02386  0.922036 0.961248 2.54015
0.277778 0.277778 0.277778 3.12008  1.06193 1.09816 2.88686
0.333333 0.333333 0.333333 3.21631  1.21874 1.2542 3.13684
0.388889 0.388889 0.388889 3.31253  1.26777 1.32874 3.26326
0.444444 0.444444 0.444444 3.40876  1.37934 1.41576 3.25671
0.5 0.5 0.5 3.50498  1.35814 1.38431 3.26226
