# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.508266 0.662298 0.874718
0.111111 0 0.111111 0.157135  0.957244 1.02495 1.63248
0.166667 0 0.166667 0.235702  1.38902 1.44919 2.30616
0.222222 0 0.222222 0.31427  1.77609 1.82952 2.89083
0.277778 0 0.277778 0.392837  2.07363 2.09039 3.21797
0.333333 0 0.333333 0.471405  2.3367 2.35359 3.43628
0.388889 0 0.388889 0.549972  2.48975 2.51287 3.57948
0.444444 0 0.444444 0.628539  2.57602 2.58858 3.58193
0.5 0 0.5 0.707107  2.58686 2.61489 3.56227
0.5 0 0.5 0.707107  2.58686 2.61489 3.56227
0.5 0.0625 0.5625 0.795495  2.57613 2.6613 3.5456
0.5 0.125 0.625 0.883883  2.45136 2.8131 3.46833
0.5 0.1875 0.6875 0.972272  2.35487 2.95189 3.33736
0.5 0.25 0.75 1.06066  2.29702 3.14193 3.17902
0.5 0.25 0.75 1.06066  2.29702 3.14193 3.17902
0.5 0.1875 0.6875 1.14905  2.35487 2.95189 3.33736
0.5 0.125 0.625 1.23744  2.45136 2.8131 3.46833
0.5 0.0625 0.5625 1.32583  2.57613 2.6613 3.5456
0.5 0 0.5 1.41421  2.58686 2.61489 3.56227
0.5 1 0.5 1.41421  2.58686 2.61489 3.56227
0.464286 0.928571 0.464286 1.5017  2.62086 2.65052 3.56409
0.428571 0.857143 0.428571 1.58918  2.54758 2.72627 3.52777
0.392857 0.785714 0.392857 1.67666  2.38027 2.81444 3.40675
0.357143 0.714286 0.357143 1.76414  2.23609 2.93474 3.23839
0.321429 0.642857 0.321429 1.85162  2.07547 3.04292 3.09341
0.285714 0.571429 0.285714 1.9391  1.86495 2.89115 3.18367
0.25 0.5 0.25 2.02659  1.57968 2.64637 3.28737
0.214286 0.428571 0.214286 2.11407  1.4136 2.37379 3.30701
0.178571 0.357143 0.178571 2.20155  1.2271 2.08627 3.14637
0.142857 0.285714 0.142857 2.28903  0.933938 1.69652 2.79449
0.107143 0.214286 0.107143 2.37651  0.715191 1.34391 2.31936
0.0714286 0.142857 0.0714286 2.46399  0.669392 0.929203 1.60837
0.0357143 0.0714286 0.0357143 2.55148  0.476811 0.565313 0.902949
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -6.95116e-09 4.65524e-15 6.95116e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.549745 0.58234 0.868325
0.111111 0.111111 0.111111 2.83141  0.625393 0.672292 1.63993
0.166667 0.166667 0.166667 2.92763  0.949908 0.957522 2.29325
0.222222 0.222222 0.222222 3.02386  1.16463 1.19677 2.85476
0.277778 0.277778 0.277778 3.12008  1.34003 1.3535 3.20423
0.333333 0.333333 0.333333 3.21631  1.54444 1.57867 3.40315
0.388889 0.388889 0.388889 3.31253  1.60389 1.65886 3.49571
0.444444 0.444444 0.444444 3.40876  1.74714 1.76651 3.52618
0.5 0.5 0.5 3.50498  1.73797 1.80701 3.57642
