# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.358413 0.538695 0.851358
0.111111 0 0.111111 0.157135  0.692146 0.753038 1.56583
0.166667 0 0.166667 0.235702  1.01116 1.04682 2.07026
0.222222 0 0.222222 0.31427  1.2675 1.33776 2.51266
0.277778 0 0.277778 0.392837  1.45916 1.51427 2.77485
0.333333 0 0.333333 0.471405  1.62042 1.64817 2.89515
0.388889 0 0.388889 0.549972  1.70867 1.74113 2.9527
0.444444 0 0.444444 0.628539  1.78546 1.83408 2.95286
0.5 0 0.5 0.707107  1.80419 1.84192 2.94212
0.5 0 0.5 0.707107  1.80419 1.84192 2.94212
0.5 0.0625 0.5625 0.795495  1.861 1.90459 2.91584
0.5 0.125 0.625 0.883883  1.95426 2.06473 2.79882
0.5 0.1875 0.6875 0.972272  2.04606 2.29602 2.67665
0.5 0.25 0.75 1.06066  2.07791 2.47891 2.52307
0.5 0.25 0.75 1.06066  2.07791 2.47891 2.52307
0.5 0.1875 0.6875 1.14905  2.04606 2.29602 2.67665
0.5 0.125 0.625 1.23744  1.95426 2.06473 2.79882
0.5 0.0625 0.5625 1.32583  1.861 1.90459 2.91584
0.5 0 0.5 1.41421  1.80419 1.84192 2.94212
0.5 1 0.5 1.41421  1.80419 1.84192 2.94212
0.464286 0.928571 0.464286 1.5017  1.84239 1.89813 2.9259
0.428571 0.857143 0.428571 1.58918  1.8346 2.07767 2.8608
0.392857 0.785714 0.392857 1.67666  1.79428 2.31856 2.77072
0.357143 0.714286 0.357143 1.76414  1.74254 2.50757 2.65112
0.321429 0.642857 0.321429 1.85162  1.70221 2.5158 2.62253
0.285714 0.571429 0.285714 1.9391  1.62464 2.36575 2.706
0.25 0.5 0.25 2.02659  1.53274 2.24611 2.78096
0.214286 0.428571 0.214286 2.11407  1.35261 1.93823 2.75481
0.178571 0.357143 0.178571 2.20155  1.16096 1.64139 2.6268
0.142857 0.285714 0.142857 2.28903  0.878353 1.33387 2.37873
0.107143 0.214286 0.107143 2.37651  0.665394 1.05704 2.0169
0.0714286 0.142857 0.0714286 2.46399  0.601655 0.734235 1.43506
0.0357143 0.0714286 0.0357143 2.55148  0.424659 0.483516 0.799257
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -5.01498e-09 4.30798e-15 5.01498e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.48194 0.518881 0.7832
0.111111 0.111111 0.111111 2.83141  0.501955 0.536203 1.49546
0.166667 0.166667 0.166667 2.92763  0.761385 0.809041 1.99382
0.222222 0.222222 0.222222 3.02386  0.922518 0.964471 2.44713
0.277778 0.277778 0.277778 3.12008  1.06489 1.10021 2.73219
0.333333 0.333333 0.333333 3.21631  1.25089 1.29558 2.92337
0.388889 0.388889 0.388889 3.31253  1.32883 1.41554 3.03443
0.444444 0.444444 0.444444 3.40876  1.45407 1.48656 3.01444
0.5 0.5 0.5 3.50498  1.41352 1.48782 2.98319
