# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.856574 0.87124 1.27155
0.111111 0 0.111111 0.157135  1.68949 1.74875 2.52882
0.166667 0 0.166667 0.235702  2.48594 2.53083 3.70609
0.222222 0 0.222222 0.31427  3.22897 3.25993 4.75422
0.277778 0 0.277778 0.392837  3.84224 3.87832 5.61784
0.333333 0 0.333333 0.471405  4.34061 4.44607 6.33973
0.388889 0 0.388889 0.549972  4.70906 4.80475 6.85345
0.444444 0 0.444444 0.628539  4.92893 5.03892 7.18136
0.5 0 0.5 0.707107  5.05902 5.14529 7.29623
0.5 0 0.5 0.707107  5.05902 5.14529 7.29623
0.5 0.0625 0.5625 0.795495  5.05422 5.25638 7.18852
0.5 0.125 0.625 0.883883  5.02528 5.44031 7.01111
0.5 0.1875 0.6875 0.972272  4.95235 5.84061 6.65945
0.5 0.25 0.75 1.06066  4.98877 6.15265 6.42146
0.5 0.25 0.75 1.06066  4.98877 6.15265 6.42146
0.5 0.1875 0.6875 1.14905  4.95235 5.84061 6.65945
0.5 0.125 0.625 1.23744  5.02528 5.44031 7.01111
0.5 0.0625 0.5625 1.32583  5.05422 5.25638 7.18852
0.5 0 0.5 1.41421  5.05902 5.14529 7.29623
0.5 1 0.5 1.41421  5.05902 5.14529 7.29623
0.464286 0.928571 0.464286 1.5017  4.98326 5.25345 7.20982
0.428571 0.857143 0.428571 1.58918  4.84794 5.45039 7.13741
0.392857 0.785714 0.392857 1.67666  4.69364 5.77893 6.92116
0.357143 0.714286 0.357143 1.76414  4.4778 6.11437 6.63437
0.321429 0.642857 0.321429 1.85162  4.18359 6.29472 6.39299
0.285714 0.571429 0.285714 1.9391  3.88396 5.86874 6.44178
0.25 0.5 0.25 2.02659  3.5036 5.30434 6.34816
0.214286 0.428571 0.214286 2.11407  3.1303 4.68505 5.93781
0.178571 0.357143 0.178571 2.20155  2.62416 3.99988 5.4075
0.142857 0.285714 0.142857 2.28903  2.13481 3.27028 4.6872
0.107143 0.214286 0.107143 2.37651  1.58451 2.47598 3.73802
0.0714286 0.142857 0.0714286 2.46399  1.03499 1.6453 2.62954
0.0357143 0.0714286 0.0357143 2.55148  0.518031 0.844698 1.37197
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -9.28828e-09 6.59282e-15 9.28828e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.589699 0.638826 1.41117
0.111111 0.111111 0.111111 2.83141  1.20987 1.26561 2.6703
0.166667 0.166667 0.166667 2.92763  1.77138 1.84701 3.8415
0.222222 0.222222 0.222222 3.02386  2.30123 2.37709 4.8729
0.277778 0.277778 0.277778 3.12008  2.75493 2.83074 5.74849
0.333333 0.333333 0.333333 3.21631  3.10487 3.15448 6.52838
0.388889 0.388889 0.388889 3.31253  3.40741 3.41795 7.07364
0.444444 0.444444 0.444444 3.40876  3.56552 3.6301 7.38889
0.5 0.5 0.5 3.50498  3.60362 3.71012 7.51861
