# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.915994 1.04701 1.4109
0.111111 0 0.111111 0.157135  1.71395 1.75761 2.67126
0.166667 0 0.166667 0.235702  2.48036 2.53132 3.72255
0.222222 0 0.222222 0.31427  3.21843 3.2727 4.74075
0.277778 0 0.277778 0.392837  3.81919 3.87011 5.63844
0.333333 0 0.333333 0.471405  4.33324 4.47325 6.45469
0.388889 0 0.388889 0.549972  4.66919 4.89012 7.04465
0.444444 0 0.444444 0.628539  4.89682 5.04508 7.49187
0.5 0 0.5 0.707107  4.96828 5.04921 7.67347
0.5 0 0.5 0.707107  4.96828 5.04921 7.67347
0.5 0.0625 0.5625 0.795495  5.02244 5.16185 7.50998
0.5 0.125 0.625 0.883883  4.98342 5.46901 7.25752
0.5 0.1875 0.6875 0.972272  4.93804 5.95835 6.90003
0.5 0.25 0.75 1.06066  4.87519 6.40705 6.49217
0.5 0.25 0.75 1.06066  4.87519 6.40705 6.49217
0.5 0.1875 0.6875 1.14905  4.93804 5.95835 6.90003
0.5 0.125 0.625 1.23744  4.98342 5.46901 7.25752
0.5 0.0625 0.5625 1.32583  5.02244 5.16185 7.50998
0.5 0 0.5 1.41421  4.96828 5.04921 7.67347
0.5 1 0.5 1.41421  4.96828 5.04921 7.67347
0.464286 0.928571 0.464286 1.5017  5.03484 5.09539 7.54415
0.428571 0.857143 0.428571 1.58918  4.84625 5.40771 7.361
0.392857 0.785714 0.392857 1.67666  4.56791 5.7827 7.08891
0.357143 0.714286 0.357143 1.76414  4.32335 6.14708 6.76131
0.321429 0.642857 0.321429 1.85162  4.02462 6.31044 6.46819
0.285714 0.571429 0.285714 1.9391  3.59145 5.77307 6.53927
0.25 0.5 0.25 2.02659  3.18347 5.19005 6.42597
0.214286 0.428571 0.214286 2.11407  2.76209 4.55847 6.05274
0.178571 0.357143 0.178571 2.20155  2.32078 3.90232 5.54156
0.142857 0.285714 0.142857 2.28903  1.8094 3.1132 4.72586
0.107143 0.214286 0.107143 2.37651  1.37296 2.37377 3.74469
0.0714286 0.142857 0.0714286 2.46399  1.15696 1.64195 2.64017
0.0357143 0.0714286 0.0357143 2.55148  0.785833 0.972639 1.47698
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.09544e-08 7.17067e-15 1.09544e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.894346 0.950091 1.4278
0.111111 0.111111 0.111111 2.83141  1.12154 1.16618 2.63565
0.166667 0.166667 0.166667 2.92763  1.64497 1.66201 3.80001
0.222222 0.222222 0.222222 3.02386  2.04867 2.12503 4.97059
0.277778 0.277778 0.277778 3.12008  2.41382 2.47463 5.82098
0.333333 0.333333 0.333333 3.21631  2.79524 2.84309 6.58714
0.388889 0.388889 0.388889 3.31253  2.99904 3.03013 7.15249
0.444444 0.444444 0.444444 3.40876  3.16383 3.20176 7.46244
0.5 0.5 0.5 3.50498  3.1078 3.20233 7.59329
