# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.896231 1.04265 1.37287
0.111111 0 0.111111 0.157135  1.67119 1.73137 2.55338
0.166667 0 0.166667 0.235702  2.45246 2.48367 3.60271
0.222222 0 0.222222 0.31427  3.15578 3.21372 4.66073
0.277778 0 0.277778 0.392837  3.74584 3.78489 5.52011
0.333333 0 0.333333 0.471405  4.2838 4.31535 6.31642
0.388889 0 0.388889 0.549972  4.61923 4.64248 6.91976
0.444444 0 0.444444 0.628539  4.75687 4.85074 7.27338
0.5 0 0.5 0.707107  4.78141 4.96353 7.39212
0.5 0 0.5 0.707107  4.78141 4.96353 7.39212
0.5 0.0625 0.5625 0.795495  4.85304 5.08819 7.27757
0.5 0.125 0.625 0.883883  4.836 5.48388 7.04275
0.5 0.1875 0.6875 0.972272  4.80502 5.85412 6.68502
0.5 0.25 0.75 1.06066  4.77911 6.21225 6.36104
0.5 0.25 0.75 1.06066  4.77911 6.21225 6.36104
0.5 0.1875 0.6875 1.14905  4.80502 5.85412 6.68502
0.5 0.125 0.625 1.23744  4.836 5.48388 7.04275
0.5 0.0625 0.5625 1.32583  4.85304 5.08819 7.27757
0.5 0 0.5 1.41421  4.78141 4.96353 7.39212
0.5 1 0.5 1.41421  4.78141 4.96353 7.39212
0.464286 0.928571 0.464286 1.5017  4.85675 5.02373 7.31684
0.428571 0.857143 0.428571 1.58918  4.76917 5.32759 7.16947
0.392857 0.785714 0.392857 1.67666  4.51136 5.77737 6.9494
0.357143 0.714286 0.357143 1.76414  4.21089 6.10306 6.61564
0.321429 0.642857 0.321429 1.85162  3.90049 6.12846 6.2698
0.285714 0.571429 0.285714 1.9391  3.49928 5.65742 6.36564
0.25 0.5 0.25 2.02659  3.04089 5.14691 6.31046
0.214286 0.428571 0.214286 2.11407  2.61948 4.46472 5.95484
0.178571 0.357143 0.178571 2.20155  2.19292 3.78521 5.37831
0.142857 0.285714 0.142857 2.28903  1.69348 3.07639 4.71632
0.107143 0.214286 0.107143 2.37651  1.2985 2.38995 3.83946
0.0714286 0.142857 0.0714286 2.46399  1.0145 1.61553 2.59015
0.0357143 0.0714286 0.0357143 2.55148  0.669065 0.951903 1.46757
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.20266e-08 4.91755e-15 1.20266e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.823625 0.872683 1.38618
0.111111 0.111111 0.111111 2.83141  1.05953 1.11257 2.60408
0.166667 0.166667 0.166667 2.92763  1.61679 1.6605 3.75879
0.222222 0.222222 0.222222 3.02386  1.99674 2.04149 4.90458
0.277778 0.277778 0.277778 3.12008  2.34907 2.37284 5.7646
0.333333 0.333333 0.333333 3.21631  2.66872 2.72614 6.43525
0.388889 0.388889 0.388889 3.31253  2.8665 2.91 6.94861
0.444444 0.444444 0.444444 3.40876  3.04495 3.09082 7.23193
0.5 0.5 0.5 3.50498  3.00915 3.15666 7.4063
