# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  1.0586 1.35569 1.58718
0.111111 0 0.111111 0.157135  1.98071 2.07319 2.89755
0.166667 0 0.166667 0.235702  2.84154 2.90005 4.08759
0.222222 0 0.222222 0.31427  3.62736 3.7754 5.23608
0.277778 0 0.277778 0.392837  4.20078 4.38257 5.96818
0.333333 0 0.333333 0.471405  4.6766 5.07438 6.45163
0.388889 0 0.388889 0.549972  4.96576 5.51713 6.78082
0.444444 0 0.444444 0.628539  5.30238 5.56739 6.98694
0.5 0 0.5 0.707107  5.29908 5.76511 7.0162
0.5 0 0.5 0.707107  5.29908 5.76511 7.0162
0.5 0.0625 0.5625 0.795495  5.27795 5.69408 7.02506
0.5 0.125 0.625 0.883883  4.8314 5.88761 6.89749
0.5 0.1875 0.6875 0.972272  4.70847 5.83244 6.4727
0.5 0.25 0.75 1.06066  4.5416 6.03646 6.13699
0.5 0.25 0.75 1.06066  4.5416 6.03646 6.13699
0.5 0.1875 0.6875 1.14905  4.70847 5.83244 6.4727
0.5 0.125 0.625 1.23744  4.8314 5.88761 6.89749
0.5 0.0625 0.5625 1.32583  5.27795 5.69408 7.02506
0.5 0 0.5 1.41421  5.29908 5.76511 7.0162
0.5 1 0.5 1.41421  5.29908 5.76511 7.0162
0.464286 0.928571 0.464286 1.5017  5.31918 5.68362 7.02451
0.428571 0.857143 0.428571 1.58918  5.17147 5.55868 6.93278
0.392857 0.785714 0.392857 1.67666  4.88727 5.59388 6.60498
0.357143 0.714286 0.357143 1.76414  4.58546 5.85095 6.39237
0.321429 0.642857 0.321429 1.85162  4.2488 6.04394 6.18522
0.285714 0.571429 0.285714 1.9391  3.9707 5.77274 6.17679
0.25 0.5 0.25 2.02659  3.53948 5.17145 6.13745
0.214286 0.428571 0.214286 2.11407  3.0926 4.68429 6.12866
0.178571 0.357143 0.178571 2.20155  2.66237 4.08466 5.83432
0.142857 0.285714 0.142857 2.28903  2.14837 3.40235 5.18111
0.107143 0.214286 0.107143 2.37651  1.69514 2.73275 4.28494
0.0714286 0.142857 0.0714286 2.46399  1.44364 1.93462 2.96495
0.0357143 0.0714286 0.0357143 2.55148  0.98592 1.17514 1.70953
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.48924e-08 8.3221e-15 1.48924e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  1.1422 1.18665 1.61929
0.111111 0.111111 0.111111 2.83141  1.36184 1.4045 2.99933
0.166667 0.166667 0.166667 2.92763  2.00975 2.03827 4.20043
0.222222 0.222222 0.222222 3.02386  2.49555 2.54542 5.3108
0.277778 0.277778 0.277778 3.12008  2.89625 2.90773 6.05254
0.333333 0.333333 0.333333 3.21631  3.3108 3.3673 6.53209
0.388889 0.388889 0.388889 3.31253  3.39915 3.59445 6.8434
0.444444 0.444444 0.444444 3.40876  3.69832 3.81262 6.81148
0.5 0.5 0.5 3.50498  3.68194 3.84559 6.70327
