# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.946418 1.21038 1.43597
0.111111 0 0.111111 0.157135  1.77646 1.81181 2.63128
0.166667 0 0.166667 0.235702  2.51077 2.58052 3.64792
0.222222 0 0.222222 0.31427  3.17917 3.20219 4.54911
0.277778 0 0.277778 0.392837  3.66539 3.70887 5.28549
0.333333 0 0.333333 0.471405  4.02429 4.10649 5.88275
0.388889 0 0.388889 0.549972  4.23923 4.38997 6.28283
0.444444 0 0.444444 0.628539  4.43418 4.52754 6.61328
0.5 0 0.5 0.707107  4.35616 4.52523 6.75634
0.5 0 0.5 0.707107  4.35616 4.52523 6.75634
0.5 0.0625 0.5625 0.795495  4.60306 4.63009 6.70308
0.5 0.125 0.625 0.883883  4.83567 5.07213 6.58441
0.5 0.1875 0.6875 0.972272  5.09178 5.63847 6.43331
0.5 0.25 0.75 1.06066  5.20252 6.05419 6.18547
0.5 0.25 0.75 1.06066  5.20252 6.05419 6.18547
0.5 0.1875 0.6875 1.14905  5.09178 5.63847 6.43331
0.5 0.125 0.625 1.23744  4.83567 5.07213 6.58441
0.5 0.0625 0.5625 1.32583  4.60306 4.63009 6.70308
0.5 0 0.5 1.41421  4.35616 4.52523 6.75634
0.5 1 0.5 1.41421  4.35616 4.52523 6.75634
0.464286 0.928571 0.464286 1.5017  4.49361 4.64279 6.6972
0.428571 0.857143 0.428571 1.58918  4.5099 5.10775 6.62575
0.392857 0.785714 0.392857 1.67666  4.40832 5.72676 6.51714
0.357143 0.714286 0.357143 1.76414  4.26772 6.1028 6.34002
0.321429 0.642857 0.321429 1.85162  4.13792 6.12757 6.27332
0.285714 0.571429 0.285714 1.9391  3.86991 5.81471 6.23992
0.25 0.5 0.25 2.02659  3.49575 5.34982 6.02615
0.214286 0.428571 0.214286 2.11407  3.11876 4.71957 5.6013
0.178571 0.357143 0.178571 2.20155  2.62851 4.05092 5.06905
0.142857 0.285714 0.142857 2.28903  2.08418 3.30831 4.60877
0.107143 0.214286 0.107143 2.37651  1.62839 2.5362 3.83311
0.0714286 0.142857 0.0714286 2.46399  1.2435 1.7192 2.60546
0.0357143 0.0714286 0.0357143 2.55148  0.847153 1.02688 1.44943
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -6.36482e-09 5.83917e-15 6.36482e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.983104 1.02672 1.41327
0.111111 0.111111 0.111111 2.83141  1.18654 1.23661 2.62661
0.166667 0.166667 0.166667 2.92763  1.83735 1.86817 3.79549
0.222222 0.222222 0.222222 3.02386  2.2101 2.24159 4.83334
0.277778 0.277778 0.277778 3.12008  2.6189 2.6642 5.52144
0.333333 0.333333 0.333333 3.21631  2.98244 2.99842 5.99138
0.388889 0.388889 0.388889 3.31253  3.14391 3.19157 6.34208
0.444444 0.444444 0.444444 3.40876  3.3653 3.39617 6.55222
0.5 0.5 0.5 3.50498  3.21225 3.32884 6.52685
