# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.222492 0.284606 0.42029
0.111111 0 0.111111 0.157135  0.42393 0.434122 0.788421
0.166667 0 0.166667 0.235702  0.623877 0.649184 1.11543
0.222222 0 0.222222 0.31427  0.815885 0.837985 1.40016
0.277778 0 0.277778 0.392837  0.972445 0.988336 1.61523
0.333333 0 0.333333 0.471405  1.11414 1.13138 1.80885
0.388889 0 0.388889 0.549972  1.21069 1.22348 1.94738
0.444444 0 0.444444 0.628539  1.26489 1.29385 2.03308
0.5 0 0.5 0.707107  1.26996 1.31863 2.06686
0.5 0 0.5 0.707107  1.26996 1.31863 2.06686
0.5 0.0625 0.5625 0.795495  1.29559 1.33565 2.03552
0.5 0.125 0.625 0.883883  1.29431 1.43756 1.96636
0.5 0.1875 0.6875 0.972272  1.28307 1.56409 1.84819
0.5 0.25 0.75 1.06066  1.27678 1.69717 1.71373
0.5 0.25 0.75 1.06066  1.27678 1.69717 1.71373
0.5 0.1875 0.6875 1.14905  1.28307 1.56409 1.84819
0.5 0.125 0.625 1.23744  1.29431 1.43756 1.96636
0.5 0.0625 0.5625 1.32583  1.29559 1.33565 2.03552
0.5 0 0.5 1.41421  1.26996 1.31863 2.06686
0.5 1 0.5 1.41421  1.26996 1.31863 2.06686
0.464286 0.928571 0.464286 1.5017  1.29487 1.32255 2.03683
0.428571 0.857143 0.428571 1.58918  1.24942 1.41741 1.9892
0.392857 0.785714 0.392857 1.67666  1.18074 1.53775 1.91288
0.357143 0.714286 0.357143 1.76414  1.09815 1.6484 1.81928
0.321429 0.642857 0.321429 1.85162  1.00235 1.68473 1.73651
0.285714 0.571429 0.285714 1.9391  0.895684 1.52897 1.76459
0.25 0.5 0.25 2.02659  0.75812 1.3513 1.74713
0.214286 0.428571 0.214286 2.11407  0.650966 1.17751 1.68887
0.178571 0.357143 0.178571 2.20155  0.551039 0.997166 1.57094
0.142857 0.285714 0.142857 2.28903  0.422263 0.79838 1.37437
0.107143 0.214286 0.107143 2.37651  0.318397 0.611716 1.11864
0.0714286 0.142857 0.0714286 2.46399  0.290625 0.422062 0.781003
0.0357143 0.0714286 0.0357143 2.55148  0.200696 0.25561 0.437403
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.9029e-09 1.9248e-15 1.9029e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.237946 0.255406 0.41472
0.111111 0.111111 0.111111 2.83141  0.270335 0.278977 0.794704
0.166667 0.166667 0.166667 2.92763  0.406876 0.419847 1.12553
0.222222 0.222222 0.222222 3.02386  0.505766 0.513157 1.43987
0.277778 0.277778 0.277778 3.12008  0.578557 0.583875 1.6594
0.333333 0.333333 0.333333 3.21631  0.658321 0.663472 1.8285
0.388889 0.388889 0.388889 3.31253  0.703014 0.708201 1.94788
0.444444 0.444444 0.444444 3.40876  0.754782 0.760313 2.00291
0.5 0.5 0.5 3.50498  0.742077 0.751324 2.01581
