# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.305561 0.400777 0.506965
0.111111 0 0.111111 0.157135  0.562255 0.579282 0.918354
0.166667 0 0.166667 0.235702  0.775188 0.788285 1.25309
0.222222 0 0.222222 0.31427  0.984482 0.996347 1.58303
0.277778 0 0.277778 0.392837  1.13555 1.14491 1.83674
0.333333 0 0.333333 0.471405  1.26802 1.27478 2.0396
0.388889 0 0.388889 0.549972  1.36067 1.38012 2.17532
0.444444 0 0.444444 0.628539  1.43259 1.45439 2.24438
0.5 0 0.5 0.707107  1.46661 1.49112 2.25778
0.5 0 0.5 0.707107  1.46661 1.49112 2.25778
0.5 0.0625 0.5625 0.795495  1.45041 1.47379 2.22521
0.5 0.125 0.625 0.883883  1.46114 1.51726 2.11888
0.5 0.1875 0.6875 0.972272  1.49826 1.66001 1.98382
0.5 0.25 0.75 1.06066  1.49843 1.77931 1.81103
0.5 0.25 0.75 1.06066  1.49843 1.77931 1.81103
0.5 0.1875 0.6875 1.14905  1.49826 1.66001 1.98382
0.5 0.125 0.625 1.23744  1.46114 1.51726 2.11888
0.5 0.0625 0.5625 1.32583  1.45041 1.47379 2.22521
0.5 0 0.5 1.41421  1.46661 1.49112 2.25778
0.5 1 0.5 1.41421  1.46661 1.49112 2.25778
0.464286 0.928571 0.464286 1.5017  1.42797 1.47943 2.23512
0.428571 0.857143 0.428571 1.58918  1.38915 1.54483 2.17278
0.392857 0.785714 0.392857 1.67666  1.36869 1.68565 2.09149
0.357143 0.714286 0.357143 1.76414  1.31376 1.85882 1.96984
0.321429 0.642857 0.321429 1.85162  1.23819 1.79241 2.01965
0.285714 0.571429 0.285714 1.9391  1.16647 1.63143 2.07372
0.25 0.5 0.25 2.02659  1.07813 1.44641 2.05774
0.214286 0.428571 0.214286 2.11407  0.937002 1.27609 1.9127
0.178571 0.357143 0.178571 2.20155  0.804145 1.11254 1.73051
0.142857 0.285714 0.142857 2.28903  0.638848 0.928877 1.50558
0.107143 0.214286 0.107143 2.37651  0.505414 0.756098 1.23553
0.0714286 0.142857 0.0714286 2.46399  0.468445 0.55666 0.899257
0.0357143 0.0714286 0.0357143 2.55148  0.328116 0.365802 0.543802
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -3.55251e-09 2.86685e-15 3.55251e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.376796 0.390786 0.503099
0.111111 0.111111 0.111111 2.83141  0.404007 0.428942 0.900127
0.166667 0.166667 0.166667 2.92763  0.555799 0.570138 1.21412
0.222222 0.222222 0.222222 3.02386  0.691118 0.711732 1.4943
0.277778 0.277778 0.277778 3.12008  0.782676 0.796075 1.72077
0.333333 0.333333 0.333333 3.21631  0.901069 0.909283 1.99334
0.388889 0.388889 0.388889 3.31253  0.942672 0.966606 2.21198
0.444444 0.444444 0.444444 3.40876  1.02524 1.02687 2.37709
0.5 0.5 0.5 3.50498  1.00744 1.01976 2.42891
