# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.273261 0.375915 0.490709
0.111111 0 0.111111 0.157135  0.51419 0.535698 0.901953
0.166667 0 0.166667 0.235702  0.72755 0.745889 1.20915
0.222222 0 0.222222 0.31427  0.900115 0.925425 1.51104
0.277778 0 0.277778 0.392837  1.02305 1.05156 1.69923
0.333333 0 0.333333 0.471405  1.11911 1.15409 1.77464
0.388889 0 0.388889 0.549972  1.17271 1.21231 1.82394
0.444444 0 0.444444 0.628539  1.18449 1.23024 1.85902
0.5 0 0.5 0.707107  1.18242 1.20972 1.86539
0.5 0 0.5 0.707107  1.18242 1.20972 1.86539
0.5 0.0625 0.5625 0.795495  1.26611 1.28634 1.87317
0.5 0.125 0.625 0.883883  1.40022 1.43787 1.89046
0.5 0.1875 0.6875 0.972272  1.52693 1.64618 1.88854
0.5 0.25 0.75 1.06066  1.57327 1.77402 1.83852
0.5 0.25 0.75 1.06066  1.57327 1.77402 1.83852
0.5 0.1875 0.6875 1.14905  1.52693 1.64618 1.88854
0.5 0.125 0.625 1.23744  1.40022 1.43787 1.89046
0.5 0.0625 0.5625 1.32583  1.26611 1.28634 1.87317
0.5 0 0.5 1.41421  1.18242 1.20972 1.86539
0.5 1 0.5 1.41421  1.18242 1.20972 1.86539
0.464286 0.928571 0.464286 1.5017  1.22386 1.29325 1.8726
0.428571 0.857143 0.428571 1.58918  1.22912 1.4698 1.87763
0.392857 0.785714 0.392857 1.67666  1.23409 1.73167 1.88661
0.357143 0.714286 0.357143 1.76414  1.21657 1.85193 1.87273
0.321429 0.642857 0.321429 1.85162  1.17484 1.82986 1.88804
0.285714 0.571429 0.285714 1.9391  1.09082 1.74161 1.8964
0.25 0.5 0.25 2.02659  0.966784 1.61808 1.84768
0.214286 0.428571 0.214286 2.11407  0.863595 1.40508 1.73335
0.178571 0.357143 0.178571 2.20155  0.75162 1.19682 1.613
0.142857 0.285714 0.142857 2.28903  0.573252 0.965256 1.45319
0.107143 0.214286 0.107143 2.37651  0.434627 0.746926 1.22562
0.0714286 0.142857 0.0714286 2.46399  0.368073 0.514731 0.862001
0.0357143 0.0714286 0.0357143 2.55148  0.258905 0.320556 0.483332
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -3.30386e-09 2.6118e-15 3.30386e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.299789 0.329979 0.477222
0.111111 0.111111 0.111111 2.83141  0.345456 0.356853 0.913396
0.166667 0.166667 0.166667 2.92763  0.515949 0.529976 1.21985
0.222222 0.222222 0.222222 3.02386  0.622915 0.646623 1.51045
0.277778 0.277778 0.277778 3.12008  0.728854 0.744702 1.69955
0.333333 0.333333 0.333333 3.21631  0.825064 0.834234 1.8079
0.388889 0.388889 0.388889 3.31253  0.864539 0.885831 1.87642
0.444444 0.444444 0.444444 3.40876  0.951831 0.956086 1.89003
0.5 0.5 0.5 3.50498  0.8955 0.911039 1.88427
