# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.674986 0.772083 1.21675
0.111111 0 0.111111 0.157135  1.25628 1.30167 2.30681
0.166667 0 0.166667 0.235702  1.84519 1.95136 3.24303
0.222222 0 0.222222 0.31427  2.40599 2.48664 4.05895
0.277778 0 0.277778 0.392837  2.87104 2.92246 4.72732
0.333333 0 0.333333 0.471405  3.28989 3.33986 5.37511
0.388889 0 0.388889 0.549972  3.5875 3.64919 5.81996
0.444444 0 0.444444 0.628539  3.77585 3.86143 6.10063
0.5 0 0.5 0.707107  3.77381 3.90823 6.27209
0.5 0 0.5 0.707107  3.77381 3.90823 6.27209
0.5 0.0625 0.5625 0.795495  3.92084 3.97191 6.12493
0.5 0.125 0.625 0.883883  4.01268 4.32187 5.95169
0.5 0.1875 0.6875 0.972272  4.0002 4.71518 5.60927
0.5 0.25 0.75 1.06066  4.01136 5.13128 5.24363
0.5 0.25 0.75 1.06066  4.01136 5.13128 5.24363
0.5 0.1875 0.6875 1.14905  4.0002 4.71518 5.60927
0.5 0.125 0.625 1.23744  4.01268 4.32187 5.95169
0.5 0.0625 0.5625 1.32583  3.92084 3.97191 6.12493
0.5 0 0.5 1.41421  3.77381 3.90823 6.27209
0.5 1 0.5 1.41421  3.77381 3.90823 6.27209
0.464286 0.928571 0.464286 1.5017  3.85059 3.96515 6.14951
0.428571 0.857143 0.428571 1.58918  3.76459 4.29641 6.02524
0.392857 0.785714 0.392857 1.67666  3.58149 4.77836 5.76559
0.357143 0.714286 0.357143 1.76414  3.38864 5.14554 5.47123
0.321429 0.642857 0.321429 1.85162  3.13569 5.09173 5.33826
0.285714 0.571429 0.285714 1.9391  2.81843 4.65398 5.41691
0.25 0.5 0.25 2.02659  2.50111 4.12513 5.3341
0.214286 0.428571 0.214286 2.11407  2.19935 3.58235 5.03823
0.178571 0.357143 0.178571 2.20155  1.87093 3.00954 4.57847
0.142857 0.285714 0.142857 2.28903  1.46346 2.40808 4.0023
0.107143 0.214286 0.107143 2.37651  1.14281 1.82524 3.26594
0.0714286 0.142857 0.0714286 2.46399  0.964963 1.22185 2.23684
0.0357143 0.0714286 0.0357143 2.55148  0.620697 0.72081 1.24591
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -8.72108e-09 5.52099e-15 8.72108e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.687166 0.737205 1.17603
0.111111 0.111111 0.111111 2.83141  0.861252 0.924169 2.23961
0.166667 0.166667 0.166667 2.92763  1.31716 1.33744 3.21765
0.222222 0.222222 0.222222 3.02386  1.59028 1.62594 4.12992
0.277778 0.277778 0.277778 3.12008  1.87135 1.8981 4.83964
0.333333 0.333333 0.333333 3.21631  2.14384 2.15905 5.43071
0.388889 0.388889 0.388889 3.31253  2.27913 2.32173 5.89907
0.444444 0.444444 0.444444 3.40876  2.41287 2.45075 6.11134
0.5 0.5 0.5 3.50498  2.32439 2.44911 6.22616
