# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.652169 0.848299 1.22483
0.111111 0 0.111111 0.157135  1.20705 1.286 2.26944
0.166667 0 0.166667 0.235702  1.81957 1.84819 3.12811
0.222222 0 0.222222 0.31427  2.36858 2.37928 3.88863
0.277778 0 0.277778 0.392837  2.76965 2.78538 4.4409
0.333333 0 0.333333 0.471405  3.13696 3.21324 4.86802
0.388889 0 0.388889 0.549972  3.40752 3.50651 5.16952
0.444444 0 0.444444 0.628539  3.58353 3.61458 5.39269
0.5 0 0.5 0.707107  3.53146 3.65576 5.48945
0.5 0 0.5 0.707107  3.53146 3.65576 5.48945
0.5 0.0625 0.5625 0.795495  3.6216 3.74021 5.4398
0.5 0.125 0.625 0.883883  3.55808 3.97526 5.30303
0.5 0.1875 0.6875 0.972272  3.52931 4.31075 5.04085
0.5 0.25 0.75 1.06066  3.51908 4.64128 4.73343
0.5 0.25 0.75 1.06066  3.51908 4.64128 4.73343
0.5 0.1875 0.6875 1.14905  3.52931 4.31075 5.04085
0.5 0.125 0.625 1.23744  3.55808 3.97526 5.30303
0.5 0.0625 0.5625 1.32583  3.6216 3.74021 5.4398
0.5 0 0.5 1.41421  3.53146 3.65576 5.48945
0.5 1 0.5 1.41421  3.53146 3.65576 5.48945
0.464286 0.928571 0.464286 1.5017  3.62592 3.71094 5.46123
0.428571 0.857143 0.428571 1.58918  3.58857 3.87941 5.37824
0.392857 0.785714 0.392857 1.67666  3.38525 4.17888 5.13821
0.357143 0.714286 0.357143 1.76414  3.11017 4.46632 4.87416
0.321429 0.642857 0.321429 1.85162  2.82731 4.52416 4.67755
0.285714 0.571429 0.285714 1.9391  2.56268 4.17177 4.81848
0.25 0.5 0.25 2.02659  2.20819 3.75886 4.84237
0.214286 0.428571 0.214286 2.11407  1.90612 3.29496 4.62757
0.178571 0.357143 0.178571 2.20155  1.63607 2.83437 4.35715
0.142857 0.285714 0.142857 2.28903  1.2491 2.28208 3.90649
0.107143 0.214286 0.107143 2.37651  0.954772 1.76729 3.24061
0.0714286 0.142857 0.0714286 2.46399  0.872248 1.24126 2.25428
0.0357143 0.0714286 0.0357143 2.55148  0.596422 0.744041 1.25286
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -5.84968e-09 4.22596e-15 5.84968e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.705338 0.754857 1.20697
0.111111 0.111111 0.111111 2.83141  0.795971 0.853765 2.30525
0.166667 0.166667 0.166667 2.92763  1.23224 1.2549 3.20437
0.222222 0.222222 0.222222 3.02386  1.49706 1.51988 3.94853
0.277778 0.277778 0.277778 3.12008  1.72182 1.72952 4.47374
0.333333 0.333333 0.333333 3.21631  1.98037 2.00259 4.96227
0.388889 0.388889 0.388889 3.31253  2.10658 2.1202 5.27547
0.444444 0.444444 0.444444 3.40876  2.21582 2.23302 5.41595
0.5 0.5 0.5 3.50498  2.18211 2.24059 5.50638
