# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.734169 0.894375 1.22502
0.111111 0 0.111111 0.157135  1.36594 1.42378 2.32074
0.166667 0 0.166667 0.235702  2.019 2.12185 3.42145
0.222222 0 0.222222 0.31427  2.64039 2.69878 4.39213
0.277778 0 0.277778 0.392837  3.1189 3.12661 4.99831
0.333333 0 0.333333 0.471405  3.52271 3.56553 5.51342
0.388889 0 0.388889 0.549972  3.78711 3.85294 5.91063
0.444444 0 0.444444 0.628539  3.97152 4.05648 6.06707
0.5 0 0.5 0.707107  3.9888 4.18898 6.06111
0.5 0 0.5 0.707107  3.9888 4.18898 6.06111
0.5 0.0625 0.5625 0.795495  4.08568 4.15231 6.04657
0.5 0.125 0.625 0.883883  3.98698 4.38076 5.76639
0.5 0.1875 0.6875 0.972272  4.07712 4.67032 5.40644
0.5 0.25 0.75 1.06066  4.17213 5.02852 5.08735
0.5 0.25 0.75 1.06066  4.17213 5.02852 5.08735
0.5 0.1875 0.6875 1.14905  4.07712 4.67032 5.40644
0.5 0.125 0.625 1.23744  3.98698 4.38076 5.76639
0.5 0.0625 0.5625 1.32583  4.08568 4.15231 6.04657
0.5 0 0.5 1.41421  3.9888 4.18898 6.06111
0.5 1 0.5 1.41421  3.9888 4.18898 6.06111
0.464286 0.928571 0.464286 1.5017  4.08624 4.12928 6.04551
0.428571 0.857143 0.428571 1.58918  4.02578 4.30476 5.88904
0.392857 0.785714 0.392857 1.67666  3.90892 4.45541 5.64965
0.357143 0.714286 0.357143 1.76414  3.74348 4.6992 5.3618
0.321429 0.642857 0.321429 1.85162  3.61345 5.04039 5.06343
0.285714 0.571429 0.285714 1.9391  3.39406 4.67571 5.1836
0.25 0.5 0.25 2.02659  3.01243 4.20337 5.07327
0.214286 0.428571 0.214286 2.11407  2.75172 3.69112 4.90678
0.178571 0.357143 0.178571 2.20155  2.3878 3.18318 4.59803
0.142857 0.285714 0.142857 2.28903  1.83117 2.52338 4.14802
0.107143 0.214286 0.107143 2.37651  1.35379 1.92849 3.47048
0.0714286 0.142857 0.0714286 2.46399  1.06557 1.33077 2.34527
0.0357143 0.0714286 0.0357143 2.55148  0.680243 0.771916 1.30138
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -7.45515e-09 4.5689e-15 7.45515e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.693249 0.79607 1.21799
0.111111 0.111111 0.111111 2.83141  0.898874 1.02159 2.36658
0.166667 0.166667 0.166667 2.92763  1.50699 1.55187 3.34838
0.222222 0.222222 0.222222 3.02386  1.89043 1.98433 4.22588
0.277778 0.277778 0.277778 3.12008  2.24802 2.30847 4.86198
0.333333 0.333333 0.333333 3.21631  2.59701 2.67802 5.36982
0.388889 0.388889 0.388889 3.31253  2.77238 2.93654 5.68775
0.444444 0.444444 0.444444 3.40876  3.01625 3.08027 5.95083
0.5 0.5 0.5 3.50498  2.99396 3.12656 6.09284
