# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.503352 0.666922 1.03581
0.111111 0 0.111111 0.157135  0.912654 0.932799 1.91887
0.166667 0 0.166667 0.235702  1.3312 1.37846 2.63526
0.222222 0 0.222222 0.31427  1.75624 1.79381 3.24948
0.277778 0 0.277778 0.392837  2.06277 2.11253 3.65564
0.333333 0 0.333333 0.471405  2.30867 2.36321 3.9982
0.388889 0 0.388889 0.549972  2.4779 2.53536 4.29455
0.444444 0 0.444444 0.628539  2.61804 2.69657 4.54633
0.5 0 0.5 0.707107  2.60975 2.77697 4.68909
0.5 0 0.5 0.707107  2.60975 2.77697 4.68909
0.5 0.0625 0.5625 0.795495  2.75963 2.80914 4.55382
0.5 0.125 0.625 0.883883  2.90734 3.01862 4.37931
0.5 0.1875 0.6875 0.972272  2.96739 3.37562 4.09489
0.5 0.25 0.75 1.06066  3.02607 3.688 3.77386
0.5 0.25 0.75 1.06066  3.02607 3.688 3.77386
0.5 0.1875 0.6875 1.14905  2.96739 3.37562 4.09489
0.5 0.125 0.625 1.23744  2.90734 3.01862 4.37931
0.5 0.0625 0.5625 1.32583  2.75963 2.80914 4.55382
0.5 0 0.5 1.41421  2.60975 2.77697 4.68909
0.5 1 0.5 1.41421  2.60975 2.77697 4.68909
0.464286 0.928571 0.464286 1.5017  2.6872 2.82373 4.56168
0.428571 0.857143 0.428571 1.58918  2.6293 3.10418 4.41585
0.392857 0.785714 0.392857 1.67666  2.52625 3.43052 4.2562
0.357143 0.714286 0.357143 1.76414  2.43462 3.72315 4.02226
0.321429 0.642857 0.321429 1.85162  2.27712 3.72115 3.98322
0.285714 0.571429 0.285714 1.9391  2.08033 3.37594 4.0638
0.25 0.5 0.25 2.02659  1.86277 2.95791 4.05039
0.214286 0.428571 0.214286 2.11407  1.6974 2.59019 3.84777
0.178571 0.357143 0.178571 2.20155  1.52414 2.18063 3.52296
0.142857 0.285714 0.142857 2.28903  1.23654 1.75067 3.07343
0.107143 0.214286 0.107143 2.37651  0.978112 1.35561 2.52397
0.0714286 0.142857 0.0714286 2.46399  0.843979 0.918013 1.82022
0.0357143 0.0714286 0.0357143 2.55148  0.540937 0.583849 1.03261
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -7.60535e-09 4.48725e-15 7.60535e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.606814 0.650506 0.967869
0.111111 0.111111 0.111111 2.83141  0.68818 0.741057 1.83603
0.166667 0.166667 0.166667 2.92763  1.03245 1.05765 2.51472
0.222222 0.222222 0.222222 3.02386  1.24377 1.31313 3.19747
0.277778 0.277778 0.277778 3.12008  1.44247 1.50235 3.72154
0.333333 0.333333 0.333333 3.21631  1.63939 1.66207 4.1353
0.388889 0.388889 0.388889 3.31253  1.73118 1.77635 4.47554
0.444444 0.444444 0.444444 3.40876  1.86163 1.88899 4.67319
0.5 0.5 0.5 3.50498  1.82987 1.86518 4.73942
