# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.444916 0.804906 1.08088
0.111111 0 0.111111 0.157135  0.890901 1.01527 1.9545
0.166667 0 0.166667 0.235702  1.37058 1.41242 2.6584
0.222222 0 0.222222 0.31427  1.81227 1.86687 3.32204
0.277778 0 0.277778 0.392837  2.11398 2.17028 3.70468
0.333333 0 0.333333 0.471405  2.36307 2.44568 3.88857
0.388889 0 0.388889 0.549972  2.5285 2.63552 4.03438
0.444444 0 0.444444 0.628539  2.69851 2.73768 4.07738
0.5 0 0.5 0.707107  2.67763 2.87216 3.99723
0.5 0 0.5 0.707107  2.67763 2.87216 3.99723
0.5 0.0625 0.5625 0.795495  2.79999 2.83571 4.08185
0.5 0.125 0.625 0.883883  2.79665 3.08214 3.99987
0.5 0.1875 0.6875 0.972272  2.66003 3.26469 3.80866
0.5 0.25 0.75 1.06066  2.58062 3.48457 3.60896
0.5 0.25 0.75 1.06066  2.58062 3.48457 3.60896
0.5 0.1875 0.6875 1.14905  2.66003 3.26469 3.80866
0.5 0.125 0.625 1.23744  2.79665 3.08214 3.99987
0.5 0.0625 0.5625 1.32583  2.79999 2.83571 4.08185
0.5 0 0.5 1.41421  2.67763 2.87216 3.99723
0.5 1 0.5 1.41421  2.67763 2.87216 3.99723
0.464286 0.928571 0.464286 1.5017  2.74055 2.81576 4.10176
0.428571 0.857143 0.428571 1.58918  2.70817 2.97272 4.05595
0.392857 0.785714 0.392857 1.67666  2.52927 3.21701 3.93786
0.357143 0.714286 0.357143 1.76414  2.35089 3.43297 3.75542
0.321429 0.642857 0.321429 1.85162  2.16774 3.44396 3.56456
0.285714 0.571429 0.285714 1.9391  1.9103 3.21834 3.6771
0.25 0.5 0.25 2.02659  1.64444 3.03731 3.77566
0.214286 0.428571 0.214286 2.11407  1.41265 2.57651 3.71505
0.178571 0.357143 0.178571 2.20155  1.21694 2.19305 3.557
0.142857 0.285714 0.142857 2.28903  0.919552 1.72797 3.22819
0.107143 0.214286 0.107143 2.37651  0.673266 1.34378 2.69719
0.0714286 0.142857 0.0714286 2.46399  0.653058 0.954852 1.86945
0.0357143 0.0714286 0.0357143 2.55148  0.537834 0.630415 1.1322
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -8.78531e-09 5.34952e-15 8.78531e-09
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.679452 0.700421 0.990684
0.111111 0.111111 0.111111 2.83141  0.592254 0.643586 1.8436
0.166667 0.166667 0.166667 2.92763  0.935411 0.960833 2.60724
0.222222 0.222222 0.222222 3.02386  1.12036 1.16779 3.26649
0.277778 0.277778 0.277778 3.12008  1.26852 1.30116 3.68333
0.333333 0.333333 0.333333 3.21631  1.47712 1.52787 3.92904
0.388889 0.388889 0.388889 3.31253  1.52514 1.58563 4.05328
0.444444 0.444444 0.444444 3.40876  1.66994 1.70159 4.06529
0.5 0.5 0.5 3.50498  1.67539 1.70273 3.9644
