# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0555556 0 0.0555556 0.0785674  0.580883 0.745286 1.15004
0.111111 0 0.111111 0.157135  1.09658 1.15958 2.17029
0.166667 0 0.166667 0.235702  1.63667 1.66471 3.11794
0.222222 0 0.222222 0.31427  2.13214 2.23744 3.90895
0.277778 0 0.277778 0.392837  2.59182 2.65976 4.4686
0.333333 0 0.333333 0.471405  3.04314 3.12345 5.06269
0.388889 0 0.388889 0.549972  3.35763 3.44173 5.4317
0.444444 0 0.444444 0.628539  3.59392 3.6652 5.50734
0.5 0 0.5 0.707107  3.61577 3.83595 5.56829
0.5 0 0.5 0.707107  3.61577 3.83595 5.56829
0.5 0.0625 0.5625 0.795495  3.59581 3.68725 5.38666
0.5 0.125 0.625 0.883883  3.43044 3.61908 5.08716
0.5 0.1875 0.6875 0.972272  3.2124 3.91012 4.61618
0.5 0.25 0.75 1.06066  3.08082 4.12657 4.31645
0.5 0.25 0.75 1.06066  3.08082 4.12657 4.31645
0.5 0.1875 0.6875 1.14905  3.2124 3.91012 4.61618
0.5 0.125 0.625 1.23744  3.43044 3.61908 5.08716
0.5 0.0625 0.5625 1.32583  3.59581 3.68725 5.38666
0.5 0 0.5 1.41421  3.61577 3.83595 5.56829
0.5 1 0.5 1.41421  3.61577 3.83595 5.56829
0.464286 0.928571 0.464286 1.5017  3.64602 3.71405 5.43088
0.428571 0.857143 0.428571 1.58918  3.60697 3.70503 5.22851
0.392857 0.785714 0.392857 1.67666  3.48445 3.59656 4.90591
0.357143 0.714286 0.357143 1.76414  3.26014 3.78117 4.49373
0.321429 0.642857 0.321429 1.85162  3.09553 4.02441 4.15379
0.285714 0.571429 0.285714 1.9391  2.97977 3.60146 4.41244
0.25 0.5 0.25 2.02659  2.70336 3.13405 4.60067
0.214286 0.428571 0.214286 2.11407  2.44476 2.75497 4.52527
0.178571 0.357143 0.178571 2.20155  2.19257 2.38256 4.284
0.142857 0.285714 0.142857 2.28903  1.75275 1.90544 3.73315
0.107143 0.214286 0.107143 2.37651  1.30803 1.43762 2.95327
0.0714286 0.142857 0.0714286 2.46399  0.929566 1.02044 1.9867
0.0357143 0.0714286 0.0357143 2.55148  0.576006 0.615617 1.09226
1.66533e-16 3.33067e-16 1.66533e-16 2.63896  -1.05982e-08 4.69574e-15 1.05982e-08
0 0 0 2.63896  0 0 0
0.0555556 0.0555556 0.0555556 2.73518  0.635096 0.66587 1.01063
0.111111 0.111111 0.111111 2.83141  0.799821 0.864559 1.90256
0.166667 0.166667 0.166667 2.92763  1.28582 1.3241 2.87491
0.222222 0.222222 0.222222 3.02386  1.66243 1.7536 3.78208
0.277778 0.277778 0.277778 3.12008  1.95357 2.04432 4.3535
0.333333 0.333333 0.333333 3.21631  2.36078 2.39771 4.90393
0.388889 0.388889 0.388889 3.31253  2.55493 2.66311 5.23195
0.444444 0.444444 0.444444 3.40876  2.72901 2.75904 5.42456
0.5 0.5 0.5 3.50498  2.84689 2.89828 5.57501
